date,temp_max,temp_min,precipitation,humidity,wind_speed,pressure,visibility,cloud_cover,condition
2025-01-26,27.1,16.8,0.0,45.7,11.8,1019.1,19.05,26.7,sunny
2025-01-27,27.6,14.6,0.0,62.6,10.0,1006.1,19.61,26.9,sunny
2025-01-28,27.2,15.2,0.0,70.8,5.5,1004.1,19.6,50.2,sunny
2025-01-29,23.7,18.2,0.4,72.6,1.7,1019.0,16.49,69.8,partly_cloudy
2025-01-30,26.6,9.9,0.54,80.4,5.0,1010.4,17.14,88.2,overcast
2025-01-31,26.5,12.2,0.0,77.4,7.8,1011.6,17.41,70.4,partly_cloudy
2025-02-01,26.9,11.8,0.0,73.5,12.7,1002.8,20.0,34.7,sunny
2025-02-02,29.1,9.5,0.0,49.1,3.9,1009.9,19.86,41.1,sunny
2025-02-03,27.3,14.6,0.0,64.0,7.7,1013.8,20.0,55.8,sunny
2025-02-04,28.8,19.0,0.0,69.1,10.7,1019.4,18.65,57.2,sunny
2025-02-05,27.2,16.1,0.0,54.8,0.0,1009.2,20.0,55.5,sunny
2025-02-06,28.0,17.7,0.18,48.2,12.1,1023.8,17.08,31.2,sunny
2025-02-07,29.2,20.6,0.34,56.6,3.3,1009.7,18.1,51.0,sunny
2025-02-08,23.1,21.4,0.0,63.2,9.3,1009.7,19.76,57.9,sunny
2025-02-09,26.7,17.4,0.0,61.6,9.0,1023.0,20.0,63.2,partly_cloudy
2025-02-10,26.4,21.8,0.0,52.1,12.3,1015.0,20.0,33.9,sunny
2025-02-11,26.0,18.2,0.0,78.0,10.2,1010.4,20.0,53.8,sunny
2025-02-12,27.3,15.6,0.0,82.0,0.0,1012.7,19.68,20.5,sunny
2025-02-13,32.7,16.5,0.36,55.9,4.9,1021.7,20.0,40.5,sunny
2025-02-14,25.8,14.0,0.0,82.2,8.6,1022.4,18.27,53.2,sunny
2025-02-15,31.4,15.9,2.02,61.9,7.2,1008.7,20.0,45.7,sunny
2025-02-16,23.6,17.6,0.0,82.0,9.9,1013.3,17.43,63.5,partly_cloudy
2025-02-17,27.8,21.2,0.0,83.1,11.2,1014.1,16.81,60.7,partly_cloudy
2025-02-18,29.5,24.1,0.24,47.4,10.4,1007.6,17.24,11.0,sunny
2025-02-19,30.9,15.0,0.0,75.5,7.1,1013.1,20.0,61.0,partly_cloudy
2025-02-20,31.4,20.4,0.37,86.8,0.6,1013.5,19.07,51.3,sunny
2025-02-21,31.7,16.2,0.12,82.2,6.2,1020.3,17.48,69.0,partly_cloudy
2025-02-22,28.4,20.9,0.43,87.3,9.7,1020.7,19.78,46.5,sunny
2025-02-23,28.2,19.2,1.15,76.2,3.6,1011.4,17.76,64.3,partly_cloudy
2025-02-24,32.3,14.2,0.0,48.1,10.5,1012.1,20.0,39.8,sunny
2025-02-25,29.3,22.6,0.0,79.0,11.6,1017.3,15.45,64.0,partly_cloudy
2025-02-26,26.1,18.2,0.0,69.6,8.5,1009.8,18.49,56.6,sunny
2025-02-27,26.7,18.5,0.0,69.6,0.0,1016.9,18.1,51.0,sunny
2025-02-28,27.4,17.0,1.09,70.4,2.9,1012.8,12.84,37.6,sunny
2025-03-01,31.8,18.3,0.19,69.4,15.5,1007.5,20.0,33.5,sunny
2025-03-02,30.8,21.7,0.0,51.1,5.8,1007.5,19.4,36.8,sunny
2025-03-03,32.6,19.9,2.62,95.5,0.1,1021.9,13.96,80.7,rainy
2025-03-04,29.3,21.6,0.0,48.0,12.9,1012.3,20.0,34.9,sunny
2025-03-05,31.2,21.8,0.54,78.5,8.1,1023.1,16.79,71.3,partly_cloudy
2025-03-06,32.7,24.8,0.0,79.0,12.4,1010.1,17.71,55.3,sunny
2025-03-07,30.0,19.9,0.0,63.9,9.1,1014.9,19.54,37.5,sunny
2025-03-08,32.3,16.5,1.39,76.5,9.8,1027.5,17.86,61.1,partly_cloudy
2025-03-09,29.1,24.3,1.28,67.7,9.5,1006.8,15.41,63.7,partly_cloudy
2025-03-10,30.0,20.1,0.0,83.8,10.8,1001.8,17.05,66.8,partly_cloudy
2025-03-11,30.1,24.5,0.41,77.6,17.1,1020.9,19.92,89.0,overcast
2025-03-12,27.7,22.4,0.0,59.8,11.9,1008.2,20.0,39.8,sunny
2025-03-13,32.8,21.0,0.0,52.0,1.7,1013.0,15.81,44.9,sunny
2025-03-14,30.0,22.5,0.34,56.5,9.8,1009.6,16.55,56.3,sunny
2025-03-15,31.5,27.3,0.0,63.6,12.6,1014.7,20.0,51.4,sunny
2025-03-16,33.0,27.8,0.0,82.7,12.8,1007.4,19.17,53.8,sunny
2025-03-17,32.9,21.8,0.0,74.4,6.3,1012.0,17.26,33.9,sunny
2025-03-18,33.6,22.1,0.0,53.6,12.7,1015.8,19.48,39.1,sunny
2025-03-19,31.4,24.9,0.6,84.2,11.7,1007.0,17.11,49.0,cloudy
2025-03-20,30.5,19.2,0.98,68.0,18.3,1008.8,18.61,33.0,sunny
2025-03-21,31.5,22.8,0.0,79.1,5.0,1011.0,15.83,47.6,sunny
2025-03-22,26.8,21.7,0.0,54.7,6.0,1004.5,18.08,31.6,sunny
2025-03-23,27.5,22.8,0.67,75.1,6.8,1010.5,17.96,69.6,partly_cloudy
2025-03-24,27.9,19.4,0.87,89.0,6.0,1013.7,16.1,77.9,partly_cloudy
2025-03-25,28.9,17.1,0.0,55.3,4.4,1010.6,20.0,34.1,sunny
2025-03-26,33.1,15.7,0.0,72.7,0.0,1011.4,16.41,52.5,sunny
2025-03-27,29.2,18.6,0.18,85.9,6.3,1012.9,18.57,36.0,sunny
2025-03-28,30.8,20.6,0.0,51.0,9.5,1009.1,20.0,38.1,sunny
2025-03-29,35.9,21.1,0.0,48.5,6.0,1017.1,20.0,50.3,sunny
2025-03-30,30.9,27.8,0.0,72.0,15.7,1021.6,19.18,68.4,partly_cloudy
2025-03-31,34.2,25.3,1.16,67.9,8.1,1010.2,16.58,49.1,sunny
2025-04-01,29.2,19.1,1.22,57.6,13.2,1015.9,15.51,70.7,partly_cloudy
2025-04-02,31.4,23.0,0.0,64.0,9.0,1011.6,19.16,29.3,sunny
2025-04-03,29.1,20.8,0.0,75.2,11.3,1015.2,20.0,38.9,sunny
2025-04-04,31.0,21.1,0.0,56.4,9.1,1022.4,19.44,58.8,sunny
2025-04-05,34.5,22.5,0.0,58.4,13.5,1016.1,17.8,74.3,partly_cloudy
2025-04-06,26.8,23.8,0.0,78.8,8.2,1002.4,17.57,66.8,partly_cloudy
2025-04-07,33.2,20.9,0.0,65.8,10.0,1015.7,19.61,52.3,sunny
2025-04-08,32.6,25.1,0.0,78.7,9.5,1020.4,17.82,26.4,sunny
2025-04-09,30.1,18.5,0.0,62.9,6.8,1011.7,20.0,21.1,sunny
2025-04-10,27.5,21.9,0.0,83.1,9.6,1019.0,19.39,63.5,partly_cloudy
2025-04-11,32.0,29.6,0.65,76.2,16.9,1008.9,19.17,56.0,cloudy
2025-04-12,30.2,22.5,0.0,49.6,6.9,1004.1,20.0,28.2,sunny
2025-04-13,32.5,26.1,0.0,80.4,9.7,1013.9,20.0,61.2,partly_cloudy
2025-04-14,31.8,22.0,1.09,73.3,13.0,1002.5,14.78,63.8,partly_cloudy
2025-04-15,36.5,23.4,0.0,50.7,12.6,1011.6,18.16,59.5,sunny
2025-04-16,30.9,21.4,2.36,70.0,8.0,1020.8,14.14,68.8,partly_cloudy
2025-04-17,28.5,21.1,0.1,73.3,0.0,1001.6,17.72,75.6,partly_cloudy
2025-04-18,32.0,19.2,0.0,46.9,10.1,1005.4,17.88,43.6,sunny
2025-04-19,32.1,22.7,1.1,65.3,0.0,1006.9,16.16,56.4,sunny
2025-04-20,35.5,18.8,0.0,50.6,13.9,1012.7,19.02,61.3,partly_cloudy
2025-04-21,33.8,23.3,0.0,62.6,8.7,1010.9,18.02,36.6,sunny
2025-04-22,32.3,24.5,0.0,61.6,12.0,1021.5,18.79,93.0,overcast
2025-04-23,35.6,22.3,1.96,81.5,4.4,1018.9,16.87,76.2,partly_cloudy
2025-04-24,27.5,20.2,3.84,86.9,1.8,1016.1,10.87,88.4,rainy
2025-04-25,29.1,22.4,0.77,52.4,9.0,1014.0,20.0,57.9,sunny
2025-04-26,28.1,20.0,1.79,83.9,7.9,1015.5,15.06,99.1,overcast
2025-04-27,29.7,23.6,0.0,59.9,6.0,1008.0,18.92,61.9,partly_cloudy
2025-04-28,26.6,15.3,0.0,71.1,8.3,1018.4,18.96,31.5,sunny
2025-04-29,32.6,19.6,0.54,53.6,19.1,1006.6,19.26,70.5,partly_cloudy
2025-04-30,29.9,14.6,0.0,45.6,11.3,1018.3,20.0,37.7,sunny
2025-05-01,26.0,16.0,0.0,54.9,12.2,1020.4,20.0,49.1,sunny
2025-05-02,27.3,24.4,1.78,77.5,11.4,1014.5,13.38,48.4,cloudy
2025-05-03,31.2,22.9,0.15,62.0,13.9,1012.2,20.0,59.6,sunny
2025-05-04,32.7,18.0,0.0,77.4,7.2,1015.7,19.04,48.9,sunny
2025-05-05,36.0,15.5,0.0,60.1,0.0,996.2,16.35,51.6,sunny
2025-05-06,38.7,11.0,0.92,73.5,7.2,1015.2,18.53,57.1,sunny
2025-05-07,31.0,18.2,0.0,68.7,11.2,1012.7,20.0,83.2,partly_cloudy
2025-05-08,26.7,26.9,0.0,45.9,4.1,1013.1,18.49,72.7,partly_cloudy
2025-05-09,23.2,20.9,0.0,65.6,7.3,1017.6,19.2,53.5,sunny
2025-05-10,30.2,17.7,0.01,58.9,5.2,1013.0,16.09,50.4,sunny
2025-05-11,26.9,20.7,0.86,68.8,14.0,1006.6,14.82,53.1,sunny
2025-05-12,27.9,14.5,0.0,49.0,11.0,1012.6,20.0,61.1,partly_cloudy
2025-05-13,27.2,18.1,0.48,80.1,10.6,1013.9,16.6,57.5,sunny
2025-05-14,28.5,19.2,0.0,82.7,10.5,1014.2,16.15,55.0,sunny
2025-05-15,32.0,18.5,0.0,45.9,7.9,1014.5,20.0,57.6,sunny
2025-05-16,29.1,21.0,1.85,83.9,8.8,1019.8,13.55,63.1,partly_cloudy
2025-05-17,28.0,19.5,0.0,75.6,3.3,1007.1,17.78,57.2,sunny
2025-05-18,25.2,20.3,0.0,56.4,0.0,1014.7,20.0,24.5,sunny
2025-05-19,23.1,16.1,0.0,76.5,8.6,1021.4,16.35,68.8,partly_cloudy
2025-05-20,26.6,20.7,0.0,70.3,9.3,1003.3,17.17,84.3,partly_cloudy
2025-05-21,27.7,22.7,0.0,82.2,12.8,1014.8,18.7,71.9,partly_cloudy
2025-05-22,33.0,14.8,0.0,84.2,14.3,1010.2,20.0,84.0,partly_cloudy
2025-05-23,27.9,14.9,0.0,46.7,14.3,1011.5,20.0,30.7,sunny
2025-05-24,30.3,21.4,0.0,62.8,4.0,1008.3,18.03,54.9,sunny
2025-05-25,25.7,16.6,0.0,66.9,6.6,1012.8,20.0,39.3,sunny
2025-05-26,23.5,21.3,0.98,58.7,9.9,1024.9,16.03,50.9,sunny
2025-05-27,24.0,15.6,0.73,64.3,18.1,1006.3,20.0,67.4,partly_cloudy
2025-05-28,24.5,21.1,0.51,88.6,13.9,1006.9,14.79,68.3,partly_cloudy
2025-05-29,32.9,16.9,0.0,45.6,12.5,1006.1,20.0,21.6,sunny
2025-05-30,23.9,17.1,0.0,63.1,6.4,1024.3,18.03,31.8,sunny
2025-05-31,28.7,20.9,0.0,78.7,4.5,1011.2,20.0,38.6,sunny
2025-06-01,23.3,14.9,0.0,58.0,11.2,1013.8,20.0,56.3,sunny
2025-06-02,28.6,13.0,0.0,64.2,3.6,1011.6,17.26,83.1,partly_cloudy
2025-06-03,26.8,14.3,0.0,84.1,7.0,1008.4,17.25,82.5,partly_cloudy
2025-06-04,25.0,16.8,2.77,86.1,7.5,1012.7,14.22,48.5,rainy
2025-06-05,25.2,10.6,0.0,50.2,14.4,1028.9,20.0,66.4,partly_cloudy
2025-06-06,23.1,17.0,0.0,47.1,6.6,1022.5,20.0,57.6,sunny
2025-06-07,26.3,13.3,0.0,82.8,0.0,1009.1,18.45,38.2,sunny
2025-06-08,23.4,18.2,0.97,63.4,10.0,1018.1,18.9,52.0,sunny
2025-06-09,20.9,7.3,0.0,65.2,5.2,1009.3,19.51,69.0,partly_cloudy
2025-06-10,20.5,12.0,0.0,48.6,8.2,1003.6,17.48,52.6,sunny
2025-06-11,24.7,9.1,0.0,61.9,7.7,1020.4,17.78,31.3,sunny
2025-06-12,28.7,11.5,0.0,82.2,6.9,1021.3,18.86,70.3,partly_cloudy
2025-06-13,24.2,14.5,0.0,65.1,11.2,1020.7,20.0,20.5,sunny
2025-06-14,23.2,13.0,0.0,83.8,1.9,1011.6,20.0,58.6,sunny
2025-06-15,24.2,12.6,0.0,55.4,5.9,1013.4,20.0,64.7,partly_cloudy
2025-06-16,27.1,12.7,0.0,65.2,10.7,1019.0,19.82,52.9,sunny
2025-06-17,23.6,13.6,0.0,79.4,5.5,1016.9,20.0,52.2,sunny
2025-06-18,21.5,9.7,1.7,76.5,1.6,1012.2,13.95,80.1,partly_cloudy
2025-06-19,25.9,14.7,0.0,56.2,10.7,1004.9,19.38,62.7,partly_cloudy
2025-06-20,23.6,14.3,0.0,79.2,12.5,1015.3,16.89,79.3,partly_cloudy
2025-06-21,26.8,13.3,0.64,65.7,7.8,1021.1,15.44,69.2,partly_cloudy
2025-06-22,22.5,13.6,0.0,66.2,0.2,1007.5,19.86,69.3,fog
2025-06-23,18.1,12.6,0.0,84.1,10.8,1018.5,18.67,73.0,partly_cloudy
2025-06-24,17.4,17.7,0.0,52.5,1.4,1016.7,20.0,50.2,sunny
2025-06-25,26.3,11.1,0.0,57.1,9.2,1019.3,20.0,49.9,sunny
2025-06-26,26.3,10.2,0.87,53.2,4.5,1020.0,18.59,47.4,sunny
2025-06-27,20.4,8.7,0.0,60.7,3.4,1010.7,20.0,32.2,sunny
2025-06-28,19.6,7.6,0.64,58.1,6.2,1005.2,18.23,37.9,sunny
2025-06-29,24.9,6.8,0.0,72.2,7.3,1011.7,19.72,51.9,sunny
2025-06-30,17.0,7.6,0.0,52.3,5.4,1020.3,18.44,49.7,sunny
2025-07-01,17.4,9.9,0.0,72.0,10.4,1011.7,19.64,77.6,partly_cloudy
2025-07-02,21.8,10.9,2.7,77.2,6.2,1010.9,14.57,71.5,rainy
2025-07-03,18.5,9.8,0.9,66.4,11.9,1004.1,16.04,72.8,partly_cloudy
2025-07-04,19.5,7.2,0.0,59.0,9.1,1025.6,19.66,65.7,partly_cloudy
2025-07-05,18.8,12.0,0.0,73.7,5.2,1020.1,17.57,53.4,sunny
2025-07-06,20.1,11.3,0.0,63.7,4.5,1019.8,18.26,60.8,partly_cloudy
2025-07-07,23.1,8.4,1.68,72.9,1.4,1021.0,13.24,61.2,partly_cloudy
2025-07-08,18.9,6.7,0.56,83.6,9.2,1018.7,19.74,84.4,partly_cloudy
2025-07-09,20.4,10.1,0.0,67.9,6.6,1013.8,20.0,63.5,partly_cloudy
2025-07-10,12.1,8.8,2.11,70.4,0.0,1014.3,15.84,47.9,sunny
2025-07-11,17.9,3.7,0.0,81.0,5.9,1012.8,20.0,62.9,partly_cloudy
2025-07-12,15.3,7.6,0.0,58.7,4.4,1031.2,19.19,74.1,partly_cloudy
2025-07-13,14.0,8.4,3.09,71.3,14.3,1018.7,18.82,68.4,rainy
2025-07-14,14.8,4.7,0.0,64.8,1.2,1012.6,18.81,59.1,sunny
2025-07-15,16.2,7.8,0.57,54.5,2.2,1018.3,19.14,58.3,sunny
2025-07-16,19.8,2.7,0.0,54.5,12.4,1009.4,18.98,31.7,sunny
2025-07-17,12.9,10.8,0.0,74.9,13.4,1024.6,19.5,65.1,partly_cloudy
2025-07-18,16.7,10.4,0.0,50.2,5.0,1011.6,20.0,24.2,sunny
2025-07-19,15.0,5.7,0.57,81.8,5.5,1018.6,17.04,54.4,cloudy
2025-07-20,15.3,7.3,0.0,82.5,10.5,1022.0,20.0,77.4,partly_cloudy
2025-07-21,19.1,-1.2,0.0,69.3,0.0,1018.0,19.52,60.0,sunny
2025-07-22,17.5,2.4,0.07,74.0,0.6,1016.3,19.21,52.7,sunny
2025-07-23,19.7,4.8,1.01,81.6,6.9,1015.8,14.57,72.6,partly_cloudy
2025-07-24,15.0,2.3,1.32,95.2,14.2,1015.4,15.94,73.3,partly_cloudy
2025-07-25,13.2,7.4,0.0,58.7,6.3,1012.3,19.3,49.5,sunny
2025-07-26,14.4,11.1,0.0,51.5,8.4,1013.1,18.71,55.6,sunny
2025-07-27,15.6,1.4,0.0,65.8,12.5,1024.7,17.66,42.0,sunny
2025-07-28,15.2,2.2,0.0,66.3,16.4,1015.2,20.0,53.8,sunny
2025-07-29,11.3,5.2,0.0,52.1,5.7,1011.2,19.37,41.4,sunny
2025-07-30,14.6,9.2,0.0,69.5,7.9,1012.8,16.11,31.0,sunny
2025-07-31,14.8,0.5,0.0,45.6,15.3,1022.6,18.83,29.0,sunny
2025-08-01,21.5,4.7,0.0,82.1,1.9,1020.1,18.29,84.6,partly_cloudy
2025-08-02,19.4,9.3,0.26,57.7,12.1,1019.4,20.0,55.9,sunny
2025-08-03,11.1,-1.3,0.0,46.6,3.9,1014.5,20.0,23.4,sunny
2025-08-04,12.6,-0.4,0.0,49.3,8.4,1019.5,20.0,21.6,sunny
2025-08-05,8.9,2.0,0.77,60.8,7.0,1012.3,16.62,52.6,sunny
2025-08-06,11.3,1.6,0.0,56.0,4.2,1014.6,20.0,71.4,partly_cloudy
2025-08-07,13.9,5.4,0.28,48.5,4.1,1022.0,17.76,42.9,sunny
2025-08-08,16.4,3.5,0.0,56.2,9.1,1021.4,18.45,67.7,partly_cloudy
2025-08-09,10.4,-2.7,0.0,52.7,12.0,1010.3,18.03,51.6,sunny
2025-08-10,10.5,4.0,0.0,60.1,7.5,1011.1,17.12,57.1,sunny
2025-08-11,5.9,0.6,0.11,61.3,8.3,1016.9,20.0,31.2,sunny
2025-08-12,11.7,6.0,0.01,58.6,10.3,1026.7,20.0,63.4,partly_cloudy
2025-08-13,8.8,0.1,2.78,80.3,4.1,1004.8,14.88,69.0,rainy
2025-08-14,10.2,-0.1,2.71,70.3,11.0,1018.0,13.65,81.6,rainy
2025-08-15,9.1,3.3,1.82,60.6,11.3,1008.1,17.39,47.2,sunny
2025-08-16,11.3,3.8,1.45,64.7,18.4,1012.6,12.84,62.3,partly_cloudy
2025-08-17,6.1,2.7,0.0,75.3,6.5,1014.2,20.0,62.9,partly_cloudy
2025-08-18,6.8,-3.8,1.51,96.7,6.2,1013.9,15.0,73.6,partly_cloudy
2025-08-19,17.5,2.7,0.19,83.6,11.1,1013.3,19.2,68.8,partly_cloudy
2025-08-20,7.1,-2.1,0.0,65.2,11.3,1016.5,20.0,48.6,sunny
2025-08-21,7.5,1.5,0.0,66.3,5.9,1013.3,17.21,43.4,sunny
2025-08-22,16.2,-3.6,0.0,57.6,6.4,1007.8,16.62,72.9,partly_cloudy
2025-08-23,19.3,1.9,0.0,76.0,10.2,1021.3,17.28,73.7,partly_cloudy
2025-08-24,6.9,-2.0,0.0,75.6,4.7,1021.1,19.85,46.4,sunny
2025-08-25,9.2,-3.5,0.0,78.8,6.4,1021.7,19.94,67.9,partly_cloudy
2025-08-26,11.2,2.3,0.0,80.8,8.4,1007.4,15.72,49.3,sunny
2025-08-27,15.3,0.8,0.0,62.4,12.0,1018.4,17.42,33.4,sunny
2025-08-28,7.0,-1.9,0.0,75.7,5.6,1020.7,17.27,73.3,partly_cloudy
2025-08-29,9.1,4.2,3.18,100.0,0.6,1010.5,10.42,60.4,rainy
2025-08-30,12.1,-1.6,0.0,57.3,0.3,1016.8,16.91,62.6,partly_cloudy
2025-08-31,10.9,-0.3,0.4,85.4,3.0,1016.0,14.58,60.9,partly_cloudy
2025-09-01,8.4,0.3,0.0,48.8,2.7,1027.8,18.42,41.2,sunny
2025-09-02,9.0,-2.4,0.49,88.7,7.4,1028.3,17.26,72.9,partly_cloudy
2025-09-03,5.2,0.8,0.96,83.5,3.2,1006.8,14.04,75.3,partly_cloudy
2025-09-04,8.5,-2.4,0.51,52.8,5.2,1031.8,18.6,36.6,sunny
2025-09-05,8.4,-2.1,0.0,71.2,4.9,1011.3,20.0,66.4,partly_cloudy
2025-09-06,9.8,3.2,1.64,59.5,6.2,1022.7,13.64,59.7,sunny
2025-09-07,7.3,-4.1,0.0,75.8,13.3,1022.7,18.3,39.1,sunny
2025-09-08,10.3,-8.3,0.0,77.0,10.6,1010.9,20.0,55.9,sunny
2025-09-09,11.9,3.7,1.26,79.2,8.1,1019.8,15.18,86.6,overcast
2025-09-10,9.2,6.4,0.0,79.3,6.2,1016.2,17.39,84.8,partly_cloudy
2025-09-11,9.7,-2.5,3.42,76.3,6.3,1020.2,14.18,86.0,rainy
2025-09-12,8.8,-7.2,0.68,61.5,9.3,1018.3,17.46,36.3,sunny
2025-09-13,8.6,-2.4,0.0,61.6,10.3,1024.1,20.0,58.1,sunny
2025-09-14,6.3,-2.4,0.0,46.7,4.4,1017.4,20.0,56.1,sunny
2025-09-15,9.4,-2.1,1.12,71.9,8.1,1015.9,15.98,72.4,storm
2025-09-16,8.1,-5.0,0.0,55.6,0.0,1023.5,20.0,59.6,sunny
2025-09-17,14.6,0.1,1.88,75.8,8.8,1020.4,15.59,72.7,partly_cloudy
2025-09-18,13.0,-0.1,0.0,62.0,11.0,1021.3,20.0,49.9,sunny
2025-09-19,9.4,-6.2,0.0,80.2,6.9,1013.0,17.39,51.0,sunny
2025-09-20,5.9,0.3,0.0,55.8,15.3,1010.7,19.79,19.4,sunny
2025-09-21,4.8,4.3,0.0,80.7,4.5,1013.6,18.34,65.5,partly_cloudy
2025-09-22,11.7,-1.3,0.24,64.0,8.9,1013.3,20.0,56.0,sunny
2025-09-23,8.9,-2.9,0.0,58.1,7.9,1021.7,17.54,57.4,sunny
2025-09-24,9.5,-2.3,0.0,65.1,7.6,1022.8,20.0,32.5,sunny
2025-09-25,2.8,-0.1,0.0,61.7,7.5,1016.1,20.0,60.5,partly_cloudy
2025-09-26,10.8,-7.2,1.85,70.1,8.4,1025.6,12.66,95.1,overcast
2025-09-27,9.4,-1.5,0.0,65.1,11.4,1025.2,20.0,53.7,sunny
2025-09-28,4.7,-3.2,0.0,51.1,13.5,1018.5,20.0,44.6,sunny
2025-09-29,6.6,3.5,1.27,69.2,8.0,1012.1,18.51,65.6,partly_cloudy
2025-09-30,8.8,-2.5,2.51,87.7,11.3,1026.5,15.94,100.0,rainy
2025-10-01,8.2,3.0,0.0,61.5,5.2,1016.6,19.59,35.4,sunny
2025-10-02,7.1,-5.3,0.0,78.0,11.1,1017.8,15.28,62.0,partly_cloudy
2025-10-03,7.7,-0.2,2.12,72.2,5.0,1015.0,10.97,54.7,sunny
2025-10-04,7.3,-1.0,0.0,83.8,12.4,1011.7,18.82,53.7,sunny
2025-10-05,8.5,-4.6,0.0,76.4,16.8,1008.2,17.5,57.5,sunny
2025-10-06,12.5,-1.4,0.0,83.7,7.5,1020.8,16.49,82.1,partly_cloudy
2025-10-07,0.4,1.7,0.0,78.5,0.0,1012.3,18.45,86.3,overcast
2025-10-08,7.4,-2.9,0.0,50.7,5.8,1035.3,20.0,52.1,sunny
2025-10-09,8.7,-7.0,0.0,66.1,12.9,1010.5,16.29,47.4,sunny
2025-10-10,9.0,-1.9,0.0,51.8,10.2,1009.4,19.01,83.3,partly_cloudy
2025-10-11,7.1,-4.5,0.0,77.7,9.0,1020.0,20.0,52.5,sunny
2025-10-12,3.0,-2.8,0.0,68.4,12.0,1026.1,16.93,45.6,sunny
2025-10-13,9.2,-2.0,0.0,55.5,9.9,1017.3,20.0,21.1,sunny
2025-10-14,13.5,-6.8,0.0,82.2,12.9,1020.4,17.42,82.0,partly_cloudy
2025-10-15,3.8,-6.5,0.77,55.8,11.7,1005.9,19.27,66.2,partly_cloudy
2025-10-16,11.0,-0.1,0.0,67.6,14.1,1012.9,20.0,90.0,overcast
2025-10-17,7.5,-3.1,0.0,73.8,9.4,1010.5,20.0,36.1,sunny
2025-10-18,8.3,-9.2,0.0,47.4,11.6,1005.5,20.0,65.5,partly_cloudy
